paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,authors_joined,categories_joined,summary_chars,age_days,text_for_embedding
10.28932/jutisi.v12i2.13099,Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model,,"['Muhamad Komarudin', 'Chelly Sabrina', 'Yessy Mulyani', 'Puput Budi Wintoro']","['Jurnal Teknik Informatika dan Sistem Informasi', 'journal-article']",Jurnal Teknik Informatika dan Sistem Informasi,2026-08-27,2026-09-02,https://doi.org/10.28932/jutisi.v12i2.13099,https://doi.org/10.28932/jutisi.v12i2.13099,Crossref record 10.28932/jutisi.v12i2.13099,"Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro","Jurnal Teknik Informatika dan Sistem Informasi, journal-article",0,29,"Title: Transformasi Layanan Informasi Berbasis Chatbot Retrieval-Augmented Generation dan Large Language Model
Authors: Muhamad Komarudin, Chelly Sabrina, Yessy Mulyani, Puput Budi Wintoro
Published: 2026-08-27
Categories: Jurnal Teknik Informatika dan Sistem Informasi, journal-article
Summary: "
10.20944/preprints202608.1849.v1,An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization,"Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams.","['Fardin Jalil Piran', 'Rajiv Malhotra', 'Farhad Imani']","['Computer Science and Mathematics', 'posted-content']",Computer Science and Mathematics,2026-08-26,2026-08-27,https://doi.org/10.20944/preprints202608.1849.v1,https://doi.org/10.20944/preprints202608.1849.v1,Crossref record 10.20944/preprints202608.1849.v1,"Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani","Computer Science and Mathematics, posted-content",1856,30,"Title: An Agentic Retrieval-Augmented Vision-Language Recommendation System for Hyperdimensional Encoding Optimization
Authors: Fardin Jalil Piran, Rajiv Malhotra, Farhad Imani
Published: 2026-08-26
Categories: Computer Science and Mathematics, posted-content
Summary: Selecting an encoding configuration for Hyperdimensional Computing (HDC) determines whether a model fits the memory budget of an Internet of Things (IoT) device, yet the knowledge needed to make that choice is dispersed across thousands of papers in a form no optimizer can query. The configuration space is large and each evaluation is expensive, so exhaustive search is infeasible; sequential optimizers are the standard remedy, but they begin from an uninformed prior and spend early evaluations exploring blindly. We present an agentic Retrieval-Augmented Generation (RAG) recommendation system that converts the HDC literature into an informed starting point for this search. A corpus of 1,518 HDC papers is indexed multimodally. A vision-language model (VLM) describes 1,755 figure regions extracted from source PDFs, making plotted evidence such as accuracy against dimension curves retrievable alongside prose and tables. Given a task profile stating the dataset characteristics, target hardware, objectives, and memory budget, the agent retrieves evidence under an allocation that reserves context for figures, and returns an encoding configuration with supporting citations. That configuration seeds the first trial of a constrained multi-objective search over accuracy and inference memory, which then refines it, and feasibility is enforced by external measurement rather than by the model. On network intrusion detection (CICIDS2017) and bearing fault diagnosis (CWRU), the literature-grounded start raised the hypervolume of the recovered Pareto front by 17.4% and 19.1% over an identically budgeted search from a random draw, at no additional evaluation cost. A natural extension is to let the system perform the data preprocessing that the practitioner now supplies, so that a deployment can be described end to end from raw sensor streams."
10.21203/rs.3.rs-10423755/v1,Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study,"qwrt zzxq null #@! #@! zzxq lorem lorem Substation civil engineering preliminary design documents must integrate project-specific conditions, current regulatory requirements, typical design practices, and historical engineering experience while maintaining consistency across architectural, structural, general-layout, foundation, road, drainage, and technical-indicator sections. Conventional Retrieval-Augmented Generation (RAG) systems remain vulnerable to condition-insensitive retrieval, unequal source authority, incompatible evidence, unsupported engineering claims, and parameter drift during long-document drafting. This study proposes an Evidence-Constrained Agentic Retrieval-Augmented Generation framework, termed EC-ARAG. The framework combines regulation-aware evidence representation, validity-gated hybrid retrieval, source-role-aware conflict resolution, dual planning--retrieval and generation--verification--repair loops, and global project-state memory. The experimental corpus comprised 36 national and industry standards, 12 enterprise standards, 18 typical-design documents, 64 historical preliminary design documents, and nine project-input documents. The held-out evaluation included 120 retrieval queries, 80 applicability cases, 48 evidence-conflict cases, 318 atomic design propositions, and five independent generation runs. EC-ARAG achieved a Recall@5 of 94.1\%, an applicability Macro-F1 of 90.6\%, an evidence support rate of 95.0\%, section completeness of 96.0\%, and cross-section parameter consistency of 97.0\%. Its unsafe-claim rate and character-level manual-edit rate were 3.4\% and 7.6\%, respectively. Although agentic verification increased machine inference time, total operational completion time was 21.4\% lower than that of closed-corpus Corrective RAG. Under the evaluated single-project, text-only conditions, EC-ARAG improved the reliability, traceability, and professional editability of regulation-intensive preliminary design drafting. qwrt #@! qwrt lorem","['Yizhang Huang', 'Xinhui Zhang']","['Research Square', 'posted-content']",Research Square,2026-08-26,2026-08-26,https://doi.org/10.21203/rs.3.rs-10423755/v1,https://doi.org/10.21203/rs.3.rs-10423755/v1,Crossref record 10.21203/rs.3.rs-10423755/v1,"Yizhang Huang, Xinhui Zhang","Research Square, posted-content",2009,30,"Title: Evidence Constrained Agentic Retrieval Augmented Generation for Substation Civil Engineering Preliminary Design Documents in a Single Project Study
Authors: Yizhang Huang, Xinhui Zhang
Published: 2026-08-26
Categories: Research Square, posted-content
Summary: qwrt zzxq null #@! #@! zzxq lorem lorem Substation civil engineering preliminary design documents must integrate project-specific conditions, current regulatory requirements, typical design practices, and historical engineering experience while maintaining consistency across architectural, structural, general-layout, foundation, road, drainage, and technical-indicator sections. Conventional Retrieval-Augmented Generation (RAG) systems remain vulnerable to condition-insensitive retrieval, unequal source authority, incompatible evidence, unsupported engineering claims, and parameter drift during long-document drafting. This study proposes an Evidence-Constrained Agentic Retrieval-Augmented Generation framework, termed EC-ARAG. The framework combines regulation-aware evidence representation, validity-gated hybrid retrieval, source-role-aware conflict resolution, dual planning--retrieval and generation--verification--repair loops, and global project-state memory. The experimental corpus comprised 36 national and industry standards, 12 enterprise standards, 18 typical-design documents, 64 historical preliminary design documents, and nine project-input documents. The held-out evaluation included 120 retrieval queries, 80 applicability cases, 48 evidence-conflict cases, 318 atomic design propositions, and five independent generation runs. EC-ARAG achieved a Recall@5 of 94.1\%, an applicability Macro-F1 of 90.6\%, an evidence support rate of 95.0\%, section completeness of 96.0\%, and cross-section parameter consistency of 97.0\%. Its unsafe-claim rate and character-level manual-edit rate were 3.4\% and 7.6\%, respectively. Although agentic verification increased machine inference time, total operational completion time was 21.4\% lower than that of closed-corpus Corrective RAG. Under the evaluated single-project, text-only conditions, EC-ARAG improved the reliability, traceability, and professional editability of regulation-intensive preliminary design drafting. qwrt #@! qwrt lorem"
10.3390/knowledge6030022,Integra,,"['Ibtasam Ur Rehman', 'Muhammad Islam', 'Muhammad Yousaf Rehman', 'Basharat Hussain']","['Knowledge', 'journal-article']",Knowledge,2025-08-25,2026-08-25,https://doi.org/10.3390/knowledge6030022,https://doi.org/10.3390/knowledge6030022,Crossref record 10.3390/knowledge6030022,"Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain","Knowledge, journal-article",0,396,"Title: Integra
Authors: Ibtasam Ur Rehman, Muhammad Islam, Muhammad Yousaf Rehman, Basharat Hussain
Published: 2025-08-25
Categories: Knowledge, journal-article
Summary: "
10.36948/ijfmr.2026.v08i04.85777,A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning,"qwrt null lorem <br/> ERR_0x7f #@! �� null The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages. %%% ERR_0x7f �� lorem","['Vanlalropuia Ralte', 'Abhisake Sinha -']","['International Journal For Multidisciplinary Research', 'journal-article']",International Journal For Multidisciplinary Research,2025-08-14,2026-08-15,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,https://doi.org/10.36948/ijfmr.2026.v08i04.85777,Crossref record 10.36948/ijfmr.2026.v08i04.85777,"Vanlalropuia Ralte, Abhisake Sinha -","International Journal For Multidisciplinary Research, journal-article",1193,407,"Title: A Framework for Adaptive Knowledge-Augmented Mizo Large Language Models Using Retrieval-Augmented Generation and Continual Learning
Authors: Vanlalropuia Ralte, Abhisake Sinha -
Published: 2025-08-14
Categories: International Journal For Multidisciplinary Research, journal-article
Summary: qwrt null lorem <br/> ERR_0x7f #@! �� null The deployment of Large Language Models (LLMs) for low-resource languages is challenging due to the lack of linguistic resources, sparse digital content and the absence of structured knowledge bases. In this paper, we present an adaptive knowledge-augmented framework for Mizo Large Language Models by combining Retrieval-Augmented Generation (RAG) with continual learning. This methodology harnesses semantic retrieval with dense embeddings and FAISS indexing, adaptive evidence re-ranking, parameter-efficient fine-tuning, and incremental knowledge updating to enhance factual accuracy and decrease hallucinations. Experimental evaluation shows better retrieval performance, greater text creation quality, and superior human evaluation scores than typical multilingual LLMs and static RAG methods. Moreover, the continual learning technique allows for effective integration of newly accessible Mizo resources, without re-training the model from scratch. The suggested architecture offers a scalable, stable and reusable method for the development of intelligent language technologies for Mizo and other low-resource languages. %%% ERR_0x7f �� lorem"
10.2118/234689-pa,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,"In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.","['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']","['SPE Journal', 'journal-article']",SPE Journal,2025-08-01,2026-08-05,https://doi.org/10.2118/234689-pa,https://doi.org/10.2118/234689-pa,Crossref record 10.2118/234689-pa,"Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li","SPE Journal, journal-article",1396,420,"Title: SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation
Authors: Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li
Published: 2025-08-01
Categories: SPE Journal, journal-article
Summary: In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach."
10.1007/s10278-026-02086-9,JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study,"Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p < 0.001) and Top-1 correctness ( Q = 27.55, p < 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis.","['Soroush Baseri Saadi', 'Jonas Ver Berne', 'Rocharles Cavalcante Fontenele', 'Peter Claes', 'Reinhilde Jacobs']","['Journal of Imaging Informatics in Medicine', 'journal-article']",Journal of Imaging Informatics in Medicine,2026-07-13,2026-07-13,https://doi.org/10.1007/s10278-026-02086-9,https://doi.org/10.1007/s10278-026-02086-9,Crossref record 10.1007/s10278-026-02086-9,"Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs","Journal of Imaging Informatics in Medicine, journal-article",1860,74,"Title: JADE-Plus: A Multimodal Agentic Retrieval-Augmented Generation Large Language Framework for Diagnostic Support in Jawbone Lesions: Development and Technical Validation Study
Authors: Soroush Baseri Saadi, Jonas Ver Berne, Rocharles Cavalcante Fontenele, Peter Claes, Reinhilde Jacobs
Published: 2026-07-13
Categories: Journal of Imaging Informatics in Medicine, journal-article
Summary: Diagnosing jawbone lesions in oral and maxillofacial radiology remains challenging due to overlapping radiological features and the need for integrated clinical reasoning. This study aimed to develop and validate JADE-Plus, a novel multimodal, agent-controlled retrieval-augmented generation (RAG) framework for diagnostic decision support in jawbone lesion assessment. JADE-Plus was implemented as a cloud-based, tablet-optimized system integrating a vision-language model (VLM) for panoramic radiograph analysis, a knowledge-grounded RAG module, and an agentic verification loop for diagnostic fusion and re-ranking. The system was evaluated using 40 representative jawbone lesion cases and compared with JADE, GPT-5.4, GPT-5.4 VLM, and ORAD. Performance was assessed using Top-1 and Top-3 accuracy, ablation and statistical analyses, intra-model stability, and response time. JADE-Plus achieved the highest diagnostic performance, with a Top-1 accuracy of 90% (36/40; 95% CI 76–97%) and a Top-3 accuracy of 100%, with no missed diagnoses. Cochran’s Q test demonstrated significant differences among models for both Top-3 correctness ( Q = 25.66, p < 0.001) and Top-1 correctness ( Q = 27.55, p < 0.001). Post-hoc McNemar tests with the Benjamini–Hochberg correction showed that JADE-Plus significantly outperformed other models, particularly under the stricter Top-1 evaluation. Ablation analysis showed that the agentic verification stage improved Top-1 and Top-3 accuracy by 15 and 8 percentage points, respectively. JADE-Plus achieved the highest reproducibility (mean Jaccard similarity 0.97 ± 0.12) while maintaining a mean response time of 33 ± 1.5 s per case. JADE-Plus demonstrated superior diagnostic accuracy, stability, and reproducibility compared with baseline systems, supporting multimodal agentic RAG frameworks for jawbone lesion diagnosis."
10.21203/rs.3.rs-10178277/v1,Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis,,"['Novanto Yudistira', 'Yanuar Putra Kharisma Adhiyasa']","['Research Square', 'posted-content']",Research Square,2026-07-10,2026-07-10,https://doi.org/10.21203/rs.3.rs-10178277/v1,https://doi.org/10.21203/rs.3.rs-10178277/v1,Crossref record 10.21203/rs.3.rs-10178277/v1,"Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa","Research Square, posted-content",0,77,"Title: Retrieval-Augmented Large-Language-Model-Based Time-Series Forecasting for Cross-Market Equity Analysis
Authors: Novanto Yudistira, Yanuar Putra Kharisma Adhiyasa
Published: 2026-07-10
Categories: Research Square, posted-content
Summary: "
10.2196/preprints.106157,Does re,,"['Rohin Athavale', 'Alexander Cresswell', 'Alice Huffman']","['JMIR Formative Research', 'posted-content']",JMIR Formative Research,2026-07-03,2026-07-06,https://doi.org/10.2196/preprints.106157,https://doi.org/10.2196/preprints.106157,Crossref record 10.2196/preprints.106157,"Rohin Athavale, Alexander Cresswell, Alice Huffman","JMIR Formative Research, posted-content",0,84,"Title: Does re
Authors: Rohin Athavale, Alexander Cresswell, Alice Huffman
Published: 2026-07-03
Categories: JMIR Formative Research, posted-content
Summary: "
10.3390/buildings16132637,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models","Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting.","['Nawari O. Nawari', 'Oluwatoyin O. Lawal']","['Buildings', 'journal-article']",Buildings,2026-07-02,2026-07-02,https://doi.org/10.3390/buildings16132637,https://doi.org/10.3390/buildings16132637,Crossref record 10.3390/buildings16132637,"Nawari O. Nawari, Oluwatoyin O. Lawal","Buildings, journal-article",2207,85,"Title: An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models
Authors: Nawari O. Nawari, Oluwatoyin O. Lawal
Published: 2026-07-02
Categories: Buildings, journal-article
Summary: Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting."
